source_id,TYC,hip,ra,ra_error,dec,dec_error,pmRA,pmra_error,pmdec,pmdec_error,BTmag,e_BTmag,VTmag,e_VTmag,phot_g_mean_mag,phot_g_n_obs,parallax,parallax_error,M_G,BT_VT,e_BT_VT,n_obs,M_V
1866289665230399616,2692-585-1,,314.934525181,0.177,33.6671897705,0.249,8.296,0.739,12.678,0.839,10.86,0.032,10.655,0.037,10.44,133,2.48,0.31,2.4122584041310837,0.20500000000000007,0.069,14,2.6272584041310836
1868359908185884032,2713-2426-1,,316.7060588899,0.187,36.720555615,0.223,-58.082,0.965,-40.065,1.01,12.578,0.171,11.521,0.086,11.357,168,4.69,0.32,4.712864213575417,1.0569999999999986,0.257,18,4.876864213575418
1868511400277157504,2714-114-1,,317.6081221457,0.146,36.3407231321,0.217,-0.706,0.711,-8.247,0.635,9.726,0.019,9.433,0.016,9.415,147,1.72,0.25,0.5926422345377471,0.29300000000000104,0.035,16,0.6106422345377478
1871715136638067840,3168-1051-1,,315.5710192104,0.192,37.8823750473,0.244,2.79,1.338,1.173,0.915,10.624,0.034,10.333,0.035,10.188,103,1.26,0.35,0.6898527255878175,0.29100000000000037,0.069,11,0.8348527255878171
1944005620982844416,3651-542-1,,358.1847719013,0.235,51.1656595811,0.161,-15.391,0.699,-10.138,0.502,9.749,0.02,9.468,0.019,9.401,142,3.83,0.31,2.3169938698431167,0.2810000000000006,0.039,15,2.383993869843117
1968873069309071360,3177-2557-1,,319.4290054639,0.245,41.9377097129,0.246,0.863,0.657,6.443,0.593,9.675,0.02,9.39,0.017,9.379,78,2.54,0.33,1.403168583099692,0.28500000000000014,0.037000000000000005,8,1.414168583099693
1975275834755295488,3609-469-1,,330.5530586183,0.258,47.0903515942,0.216,4.765,0.949,0.243,0.575,10.026,0.026,9.781,0.026,9.724,166,3.1,0.37,2.1808084691713656,0.24499999999999922,0.052,18,2.237808469171366
2004312596815025408,3982-4172-1,,334.5379041939,0.209,53.1333508109,0.198,-5.901,1.235,-8.132,0.666,11.18,0.055,10.774,0.06,10.733,141,1.38,0.3,1.4323954320061851,0.4060000000000006,0.11499999999999999,15,1.4733954320061837
2005924480861343488,3986-2224-1,,334.4415635911,0.17,55.6336475086,0.165,3.184,1.091,-2.124,0.552,10.847,0.041,10.528,0.043,10.399,155,2.46,0.3,2.3536755355168975,0.31899999999999906,0.08399999999999999,17,2.482675535516899
2012774335226671488,4285-1726-1,,358.7319252974,0.245,62.0728479975,0.157,-8.267,1.058,-0.577,0.694,10.436,0.03,10.045,0.028,9.817,130,1.26,0.29,0.3188527255878171,0.391,0.057999999999999996,14,0.5468527255878168
2013205034544659072,3997-4-1,,343.485866609,0.17,58.2622815723,0.119,12.76,0.841,-2.415,0.474,10.038,0.024,9.596,0.021,9.495,147,2.33,0.27,1.3317796051300963,0.44200000000000017,0.045,16,1.4327796051300972
2041004777302684928,2134-196-1,,284.8267269096,0.217,29.8040774018,0.288,9.326,0.783,-14.405,0.698,9.959,0.023,9.692,0.023,9.635,122,2.85,0.35,1.9092243000425526,0.26699999999999946,0.046,13,1.966224300042553
2041115862337644288,2639-1916-1,93442,285.4559613673,0.32,30.0262599961,0.329,1.136,0.053,-3.378,0.056,9.88,0.023,9.573,0.021,9.496,88,1.93,0.42,0.9237865450388725,0.3070000000000004,0.044,9,1.0007865450388724
2047744955382241536,2664-1407-1,,296.0689365335,0.228,35.3204881981,0.314,24.391,0.658,19.172,0.635,9.435,0.019,9.112,0.016,9.007,130,4.48,0.35,2.263390069990722,0.3230000000000004,0.035,14,2.3683900699907223
2060500664654179584,2683-3267-1,,303.3932383465,0.162,36.6746878837,0.215,-6.31,0.938,-30.721,0.763,9.533,0.021,9.177,0.018,9.024,113,3.15,0.26,1.5155527689480035,0.35599999999999987,0.039,12,1.668552768948004
2074008199362930432,3154-2146-1,,300.6336295176,0.336,39.6842016748,0.297,-3.976,1.359,-9.803,1.283,10.372,0.031,10.165,0.035,10.11,75,1.01,0.57,0.13160686891321483,0.20700000000000074,0.066,8,0.18660686891321454
4591133637845622912,2626-1368-1,,273.6258044864,0.273,31.9774691638,0.314,0.144,0.67,-6.037,0.664,9.864,0.022,9.609,0.021,9.55,169,1.31,0.33,0.13635647827882558,0.2550000000000008,0.043,18,0.19535647827882485
4596018115170583680,2085-418-1,87006,266.6762307967,0.165,27.9830794418,0.204,-2.318,0.067,-0.98,0.081,9.424,0.018,9.03,0.015,8.928,231,2.04,0.24,0.4761508371294969,0.39400000000000013,0.033,25,0.5781508371294954
